field1,field2,field3,field4,field5,refkey1,refkey2
discover,who,674.49,story,5.159,various,who
production,school,383.67,trial,3.447,always,rate
executive,size,523.02,simple,1.991,history,film
card,raise,645.45,describe,8.525,opportunity,Congress
somebody,rule,664.39,return,8.228,alone,bank
hour,fear,864.68,brother,7.16,though,rate
think,college,281.14,our,1.406,school,two
production,agency,135.49,opportunity,1.968,peace,realize
age,career,656.65,feel,0.217,concern,very
foreign,manager,181.44,million,4.765,debate,left
stand,argue,814.02,interest,0.19,better,cover
best,set,945.54,leave,9.032,soldier,history
election,general,957.87,table,4.37,data,option
such,behavior,99.97,probably,1.454,along,a
perform,back,841.59,conference,2.681,agreement,later
church,imagine,994.83,hear,5.018,end,fill
five,rock,620.9,remember,0.189,explain,significant
buy,product,135.61,phone,4.317,yeah,describe
section,result,672.46,listen,9.181,them,everything
out,question,626.52,those,2.414,continue,yes
course,still,360.64,chair,5.928,room,must
remember,in,424.39,hundred,2.668,own,down
be,college,299.88,past,2.491,fear,stuff
war,machine,319.26,land,4.569,loss,again
try,kind,965.6,care,5.66,arm,foreign
exactly,because,301.55,thought,8.873,truth,door
outside,service,964.77,former,0.411,ahead,area
today,figure,453.88,brother,6.19,painting,price
president,future,77.63,box,9.965,fast,theory
happy,final,836.22,color,5.559,since,task
major,professor,356.96,anything,2.947,day,expect
up,assume,54.3,far,1.216,right,discuss
billion,quickly,800.12,agent,5.941,though,though
front,especially,342.54,security,5.435,need,specific
single,from,796.08,base,8.353,enjoy,win
stay,return,191.31,suddenly,8.027,degree,site
professional,through,414.6,memory,3.828,worker,letter
guess,hard,546.61,go,1.491,than,discussion
cost,strategy,339.58,do,9.777,score,water
treat,probably,445.2,appear,5.281,police,clear
style,guy,294.42,ok,2.676,nothing,traditional
these,suggest,688.93,agreement,0.639,bar,work
feeling,market,425.23,take,7.316,try,beautiful
within,why,992.88,government,3.5,least,local
gas,sea,989.12,body,5.321,everyone,every
light,successful,508.87,hot,8.051,enter,beautiful
common,base,853.33,fear,0.757,court,group
country,light,52.3,color,8.622,world,clear
lay,interest,267.49,instead,4.572,bar,keep
listen,because,703.5,sense,2.019,school,land
end,person,319.45,surface,2.053,institution,available
police,take,840.41,since,5.929,eat,stuff
food,pressure,1.28,blue,9.709,because,him
defense,edge,866.32,hospital,1.877,daughter,section
draw,evening,318.31,none,9.059,last,experience
perhaps,hard,584.84,what,5.848,care,fill
leg,choice,994.55,century,9.479,method,close
Republican,figure,203.18,day,6.905,control,start
doctor,remember,363.99,just,1.318,box,professional
approach,office,870.64,risk,1.362,travel,white
someone,film,671.15,its,1.319,represent,feeling
notice,condition,779.54,themselves,1.332,avoid,idea
because,again,492.88,girl,1.557,over,although
small,government,609.86,three,8.803,focus,possible
west,their,472.91,put,9.223,responsibility,fact
yard,effect,882.57,a,0.368,win,project
majority,improve,716.93,character,1.382,position,more
Congress,discover,374.04,statement,8.065,win,bill
attention,million,600.72,shake,3.5,cost,officer
water,career,476.02,force,3.918,law,yes
weight,five,662.38,much,0.215,something,it
