discoverwho,article,countryrest,277323.30840000004,411.16
productionschool,order,largemember,272225.3751,709.53
executivesize,police,finallycontinue,167664.5214,320.57
cardraise,race,phonepeople,570255.0750000001,883.5
somebodyrule,even,sideunderstand,168309.9187,253.33
hourfear,attention,fourteam,451276.49199999997,521.9
thinkcollege,million,secondrole,172560.92059999998,613.79
productionagency,pay,sealeast,85918.2737,634.13
agecareer,often,causenone,130660.21699999999,198.98
foreignmanager,energy,somethingline,56542.1472,311.63
standargue,physical,rightparticipant,579101.9682,711.41
bestset,model,styleattention,657320.4972,695.18
electiongeneral,such,crimeespecially,47998.8657,50.11
suchbehavior,free,storesong,34206.7349,342.17
performback,husband,sourceamong,442205.0496000001,525.44
churchimagine,care,projectsame,915820.6014,920.58
fiverock,middle,startstep,96630.66699999999,155.63
buyproduct,design,carrynecessary,14965.919600000001,110.36
sectionresult,treat,companyland,432351.43240000005,642.94
outquestion,wind,attrue,275687.5956,440.03
coursestill,organization,letterteach,222644.7104,617.36
rememberin,commercial,dayskin,290227.5893,683.87
becollege,stand,beginbreak,275784.642,919.65
warmachine,again,mindpeace,226403.229,709.15
trykind,scientist,respondinvolve,829846.296,859.41
exactlybecause,sometimes,wherelose,246670.9155,818.01
outsideservice,cover,manspace,52290.534,54.2
todayfigure,enjoy,oilstory,52159.8896,114.92
presidentfuture,about,chairhair,26294.8336,338.72
happyfinal,time,dropnear,454903.68,544.0
majorprofessor,although,beyonddifference,356560.2048,998.88
upassume,wall,stillhigh,17325.501,319.07
billionquickly,despite,totalready,460060.9988,574.99
frontespecially,education,insideover,281807.65800000005,822.7
singlefrom,become,specificitem,680656.3608,855.01
stayreturn,write,receiveplace,86946.56880000001,454.48
professionalthrough,remain,wouldrequire,160014.87,385.95
guesshard,successful,maybeadmit,489210.4839,894.99
coststrategy,provide,whywho,112061.4,330.0
treatprobably,eye,himinterview,173610.19199999998,389.96
styleguy,property,visitstar,287433.4134,976.27
thesesuggest,next,affectidentify,195201.42619999996,283.34
feelingmarket,set,amonginstead,191344.9954,449.98
withinwhy,leg,effectaffect,146529.2304,147.58
gassea,Mr,hothand,495123.79839999997,500.57
lightsuccessful,mean,shouldthing,4096.91237,8.051
commonbase,measure,newtree,141652.78,166.0
countrylight,strong,darkeat,26523.422,507.14
layinterest,even,sciencecharge,56560.7605,211.45
listenbecause,career,messagego,277284.52499999997,394.15
endperson,American,quiteoutside,25217.382999999998,78.94
policetake,change,firearm,420919.3485,500.85
foodpressure,certainly,farsomebody,243.18720000000002,189.99
defenseedge,white,actionprocess,45949.6128,53.04
drawevening,world,leadson,124541.9706,391.26
perhapshard,turn,interestingwear,516168.08720000007,882.58
legchoice,difficult,stillworker,209611.35799999998,210.76
Republicanfigure,garden,peoplerelate,82541.875,406.25
doctorremember,these,roompeople,185532.98280000003,509.72
approachoffice,possible,datagoal,237345.1704,272.61
someonefilm,require,networkentire,568504.3189999999,847.06
noticecondition,me,televisionuntil,345305.03839999996,442.96
becauseagain,cup,windrecognize,122978.48879999999,249.51
smallgovernment,hand,particularlypick,482722.48579999997,791.53
westtheir,source,thankgo,46794.444500000005,98.95
yardeffect,large,businessreason,749151.8931000001,848.83
majorityimprove,car,securityreally,478041.75469999993,666.79
Congressdiscover,story,countrylay,58294.134,155.85
attentionmillion,adult,policeusually,47192.563200000004,78.56
watercareer,animal,eveningfear,26319.1458,55.29
weightfive,thank,somefive,351929.11779999995,531.31
latelocal,cell,muchcover,387660.2548,786.76
seetheory,or,ratherarea,276064.3125,609.75
expertlow,training,pagehow,225987.515,739.73
crimethemselves,recently,systemtreatment,36241.023400000005,182.86
oneTV,a,gasremember,406026.38999999996,421.08
sectionso,strategy,oldleg,128262.67880000002,168.86
wifeconsumer,no,soundraise,111595.89749999999,831.75
forconsider,direction,tenparticipant,231370.70999999996,811.4
believewar,help,halfwoman,191875.1274,425.34
memorythis,rate,eitherday,101180.3093,122.57
materialever,country,sometimesget,168473.4597,930.33
responserather,kid,almostcoach,27130.437900000004,71.73
factvery,evening,warconference,774689.3573999999,986.79
foridentify,final,eachsit,509325.81149999995,635.03
footspecial,recognize,reallyborn,26407.3282,63.47
availablesometimes,note,employeedegree,57621.6168,331.96
buysite,remain,shouldertype,16929.791999999998,422.4
nowshe,live,viewboard,37881.149600000004,461.74
decideclass,between,hardsource,492974.9026999999,590.17
TVimprove,other,staramong,82193.8896,496.88
ifline,wear,alsotheir,26112.308800000003,378.22
successfulenergy,official,charactergoal,23209.6504,754.54
marriageimprove,culture,alreadypush,23020.430399999997,150.48
ownerhealth,its,healthboard,163503.663,353.95
highopportunity,receive,includingdecade,376332.2463,856.41
agebig,just,widenature,371122.3317,796.93
meetingfood,career,loseability,815432.772,979.44
sectionstructure,above,knowledgeindustry,58726.2884,72.14
lookseveral,mouth,notespecially,293029.77,363.11
pointprotect,each,yetfly,136496.286,249.24
notbudget,well,severalhome,537268.645,971.5
specificquestion,still,beatevening,496194.0824,896.92
thoughtCongress,speak,behaviorindustry,251168.1276,311.48
staffyour,none,structuresince,197699.29679999998,424.12
rockclear,trial,partplayer,3106.90443,3.737
uponcase,city,improvenote,151544.752,892.7
factlose,factor,leavemovie,292966.4993,455.83
alreadyhome,address,hourgood,197920.80000000002,242.55
pieceinto,cover,industryreceive,131953.08880000003,400.72
groundweek,less,bringwait,142341.6582,651.33
playif,factor,keepwish,111385.59360000001,711.82
purposemilitary,industry,opportunitycommunity,159671.4912,328.38
yourprobably,line,baghope,294970.11569999997,441.09
casedecision,anyone,wrongfloor,41280.442,251.48
specificway,customer,resourcebecause,241754.7088,942.44
yougame,baby,housetruth,85530.75039999999,266.02
storeofficial,when,okpolitical,110702.3232,516.48
pricejob,international,minutekitchen,63336.825600000004,119.09
qualitydegree,gas,natureparent,223388.1716,761.17
humanedge,include,youteach,577024.197,776.98
speechtree,card,alwaysdiscuss,263981.976,837.4
thenhappy,game,afilm,126808.2676,783.88
eightnotice,point,formerhigh,522464.7456000001,790.32
legdirector,five,claimhimself,458008.488,962.85
interviewaccording,memory,fewsend,608321.513,636.1
backfamily,point,firstgrow,6980.926200000001,116.31
Mrshigh,information,playerstay,201127.87679999997,309.28
lowoil,later,walkearly,617408.9856,885.86
sideallow,church,claimpiece,890037.08,960.8
rockhouse,network,risknewspaper,8943.9175,690.65
probablyhealth,piece,basefly,127264.122,149.35
officialrecord,thousand,numberhand,483733.9932,828.34
