refkey1,refdata1,refkey2,refdata2,refdata3,refdata4
interest,home,on,scientist,arrive,825.11
strong,brother,art,true,indeed,136.82
meet,before,result,yard,involve,168.59
do,pressure,best,open,part,404.94
born,result,pick,board,generation,992.54
learn,size,plant,relate,event,891.16
election,listen,hear,data,water,536.45
half,money,range,challenge,travel,987.74
down,change,deep,her,fish,505.25
effort,computer,would,under,shake,130.41
into,live,phone,teacher,top,300.89
success,way,prepare,control,kitchen,591.94
course,professional,half,term,rise,919.68
citizen,life,follow,agreement,certainly,6.5
listen,decide,win,tell,sort,834.01
include,our,rest,increase,list,429.12
course,authority,court,health,discover,856.86
edge,everyone,model,door,town,553.06
day,scene,figure,former,color,716.72
late,care,wish,feel,letter,477.59
step,can,short,public,sense,503.65
law,guess,get,strong,middle,520.04
meeting,step,road,among,number,974.6
world,measure,consider,large,and,704.77
star,low,and,bit,mean,236.98
discuss,will,effort,strong,into,893.74
thus,few,significant,often,stuff,245.05
best,think,benefit,simply,right,886.43
I,under,opportunity,sell,instead,935.43
share,here,where,most,month,547.15
quickly,understand,under,news,true,127.73
occur,information,easy,throughout,manager,209.64
American,middle,despite,by,evening,835.35
stage,machine,from,fly,successful,379.23
free,field,prove,under,shoulder,173.29
cell,process,yeah,full,no,96.82
range,life,loss,continue,over,146.01
quite,ahead,move,rise,memory,72.34
family,them,thus,detail,generation,902.46
film,reach,deal,benefit,effort,863.21
author,create,its,fear,must,268.37
fear,view,experience,instead,chance,881.31
quality,loss,against,product,address,121.35
know,catch,use,environmental,town,610.71
language,agency,out,explain,case,560.29
garden,woman,standard,stock,partner,424.37
eat,bed,lay,approach,establish,266.17
break,quite,field,size,list,314.78
usually,water,of,senior,old,165.62
there,production,force,federal,across,533.49
western,effort,religious,down,small,684.17
big,dinner,spend,nothing,include,976.87
look,action,mission,quickly,board,59.31
artist,level,cell,ever,white,672.38
heart,sing,age,his,responsibility,661.47
analysis,give,physical,section,our,61.62
sometimes,per,board,after,TV,989.34
set,girl,price,the,debate,620.26
member,wish,free,blue,develop,871.29
price,individual,maintain,Democrat,pay,644.89
performance,later,which,industry,surface,102.98
too,tell,good,dark,success,830.8
experience,agreement,else,project,simply,842.28
follow,record,enjoy,million,another,479.82
executive,agent,instead,nice,assume,815.8
build,watch,federal,wind,American,559.47
station,without,provide,couple,law,13.7
group,after,program,expect,attention,560.89
all,computer,work,special,reduce,944.64
industry,police,PM,prove,born,506.58
responsibility,response,walk,design,it,639.92
reason,season,represent,foot,would,454.8
would,hard,budget,service,smile,464.38
yet,call,new,process,probably,115.97
group,president,despite,rest,set,429.07
none,feel,paper,west,police,647.94
discover,life,sometimes,country,or,938.2
drop,employee,bar,her,nature,415.36
age,option,scene,feel,minute,626.89
person,return,all,despite,present,722.23
black,executive,everything,goal,any,149.48
upon,nothing,at,involve,news,923.23
start,recently,sing,step,reduce,918.87
expert,she,popular,bag,property,338.27
military,book,summer,less,expert,965.08
bank,general,bit,particularly,moment,114.88
administration,knowledge,hour,happy,require,906.72
one,investment,mouth,woman,decade,35.63
student,clear,gun,bar,security,100.95
kind,event,answer,live,run,192.37
culture,possible,tonight,card,current,524.99
full,against,especially,medical,later,478.62
more,key,machine,blood,nor,647.39
simply,particular,late,news,seat,244.05
push,meeting,common,ago,level,972.41
town,religious,science,feeling,six,95.7
answer,entire,reflect,trade,each,112.65
